user_id,subscription_date,plan,price_usd
U1000006,2024-02-04 16:43:37,monthly,9.99
U1000024,2024-01-04 19:23:42,monthly,9.99
U1000025,2024-01-06 19:12:43,monthly,9.99
U1000029,2024-01-06 12:01:49,monthly,9.99
U1000035,2024-02-18 03:33:53,yearly,79.99
U1000056,2024-01-04 08:37:09,monthly,9.99
U1000058,2024-01-05 03:56:08,monthly,9.99
U1000066,2024-01-25 11:15:38,monthly,9.99
U1000124,2024-01-06 20:56:32,yearly,79.99
U1000128,2024-01-09 20:01:42,monthly,9.99
U1000144,2024-01-15 05:37:12,monthly,9.99
U1000165,2024-01-29 13:31:29,monthly,9.99
U1000201,2024-01-15 01:59:40,monthly,9.99
U1000207,2024-01-02 03:12:31,monthly,9.99
U1000260,2024-01-10 01:10:44,yearly,79.99
U1000267,2024-01-25 23:13:04,monthly,9.99
U1000270,2024-01-24 17:25:39,yearly,79.99
U1000290,2024-01-03 14:35:05,monthly,9.99
U1000309,2024-03-05 09:20:12,yearly,79.99
U1000322,2024-01-21 00:14:55,monthly,9.99
U1000351,2024-01-02 01:52:35,monthly,9.99
U1000360,2024-01-04 12:17:25,monthly,9.99
U1000361,2024-01-02 12:49:20,yearly,79.99
U1000363,2024-01-17 00:13:56,monthly,9.99
U1000378,2024-01-10 01:57:18,yearly,79.99
U1000389,2024-01-02 22:45:24,monthly,9.99
U1000402,2024-01-02 21:08:09,yearly,79.99
U1000411,2024-01-16 02:16:40,monthly,9.99
U1000413,2024-01-14 21:22:19,monthly,9.99
U1000418,2024-01-04 17:38:38,monthly,9.99
U1000424,2024-01-15 16:22:27,monthly,9.99
U1000440,2024-01-13 06:01:35,monthly,9.99
U1000465,2024-01-02 20:53:43,yearly,79.99
U1000467,2024-01-07 01:17:15,monthly,9.99
U1000469,2024-01-05 01:55:03,monthly,9.99
U1000481,2024-01-16 03:58:03,monthly,9.99
U1000488,2024-01-02 13:33:10,monthly,9.99
U1000509,2024-01-03 22:20:40,monthly,9.99
U1000591,2024-01-13 03:23:03,yearly,79.99
U1000636,2024-01-25 19:07:44,monthly,9.99
U1000655,2024-01-10 12:31:09,yearly,79.99
U1000657,2024-01-10 19:58:59,monthly,9.99
U1000676,2024-02-01 18:48:01,monthly,9.99
U1000706,2024-01-19 18:35:18,monthly,9.99
U1000732,2024-02-04 22:57:40,yearly,79.99
U1000776,2024-01-04 10:45:54,yearly,79.99
U1000779,2024-01-16 20:04:41,monthly,9.99
U1000781,2024-01-05 03:53:51,monthly,9.99
U1000791,2024-02-02 20:01:40,monthly,9.99
U1000795,2024-01-03 07:49:17,monthly,9.99
U1000804,2024-01-04 14:18:15,yearly,79.99
U1000816,2024-01-03 00:40:10,monthly,9.99
U1000830,2024-03-07 05:17:53,monthly,9.99
U1000836,2024-01-07 08:06:10,monthly,9.99
U1000843,2024-01-05 01:59:09,yearly,79.99
U1000858,2024-02-20 13:06:50,monthly,9.99
U1000865,2024-01-06 00:03:27,yearly,79.99
U1000872,2024-01-05 02:02:22,monthly,9.99
U1000887,2024-01-07 11:20:12,yearly,79.99
U1000906,2024-01-06 12:32:03,monthly,9.99
U1000913,2024-01-24 04:59:45,monthly,9.99
U1000942,2024-01-09 20:36:35,yearly,79.99
U1000971,2024-01-29 17:19:51,monthly,9.99
U1001012,2024-01-04 11:09:32,yearly,79.99
U1001038,2024-01-13 09:26:58,monthly,9.99
U1001046,2024-01-04 04:14:38,yearly,79.99
U1001051,2024-01-18 01:34:32,monthly,9.99
U1001052,2024-01-17 07:28:42,monthly,9.99
U1001055,2024-01-06 19:15:15,monthly,9.99
U1001071,2024-01-16 05:33:39,monthly,9.99
U1001082,2024-01-04 21:34:24,yearly,79.99
U1001107,2024-01-11 16:00:02,yearly,79.99
U1001113,2024-01-14 09:18:13,yearly,79.99
U1001114,2024-01-15 05:50:01,monthly,9.99
U1001131,2024-01-23 03:07:17,monthly,9.99
U1001152,2024-01-04 03:22:10,monthly,9.99
U1001168,2024-01-05 14:22:53,monthly,9.99
U1001191,2024-01-06 18:08:45,monthly,9.99
U1001194,2024-01-13 13:07:50,monthly,9.99
U1001199,2024-01-07 18:55:28,yearly,79.99
U1001220,2024-01-05 02:27:35,monthly,9.99
U1001240,2024-01-04 22:36:00,yearly,79.99
U1001241,2024-01-18 09:57:02,monthly,9.99
U1001244,2024-01-23 10:10:29,monthly,9.99
U1001254,2024-01-25 01:20:22,monthly,9.99
U1001255,2024-02-21 23:14:41,monthly,9.99
U1001283,2024-01-07 23:15:24,yearly,79.99
U1001291,2024-01-09 22:41:24,monthly,9.99
U1001303,2024-01-13 15:30:50,monthly,9.99
U1001330,2024-01-09 06:40:44,monthly,9.99
U1001335,2024-01-17 07:04:40,yearly,79.99
U1001340,2024-01-05 19:22:49,monthly,9.99
U1001342,2024-01-06 13:38:25,monthly,9.99
U1001343,2024-02-08 12:16:26,monthly,9.99
U1001367,2024-01-10 21:40:11,yearly,79.99
U1001377,2024-01-18 23:27:42,monthly,9.99
U1001396,2024-01-04 01:39:57,monthly,9.99
U1001415,2024-01-08 02:08:28,monthly,9.99
U1001427,2024-01-06 23:46:03,monthly,9.99
U1001428,2024-01-05 23:40:37,yearly,79.99
U1001430,2024-01-16 20:50:55,monthly,9.99
U1001440,2024-01-07 11:23:37,monthly,9.99
U1001479,2024-01-17 00:46:12,yearly,79.99
U1001484,2024-01-18 22:53:52,monthly,9.99
U1001494,2024-01-21 23:49:27,yearly,79.99
U1001509,2024-01-31 19:33:56,yearly,79.99
U1001518,2024-01-11 21:49:55,monthly,9.99
U1001522,2024-01-08 00:52:25,monthly,9.99
U1001524,2024-01-18 08:10:28,yearly,79.99
U1001527,2024-02-03 10:58:46,monthly,9.99
U1001531,2024-01-19 03:17:35,monthly,9.99
U1001533,2024-01-06 08:57:11,yearly,79.99
U1001580,2024-01-05 17:32:07,monthly,9.99
U1001583,2024-01-05 05:22:11,monthly,9.99
U1001601,2024-01-10 04:41:31,monthly,9.99
U1001603,2024-01-08 14:16:21,monthly,9.99
U1001608,2024-01-21 13:45:59,yearly,79.99
U1001635,2024-01-06 01:20:50,monthly,9.99
U1001674,2024-01-13 19:50:23,monthly,9.99
U1001689,2024-01-22 20:20:57,monthly,9.99
U1001704,2024-01-05 03:54:28,monthly,9.99
U1001727,2024-02-28 10:29:17,monthly,9.99
U1001773,2024-01-14 02:48:53,yearly,79.99
U1001776,2024-01-07 08:24:23,monthly,9.99
U1001780,2024-01-13 22:02:50,monthly,9.99
U1001787,2024-01-24 15:51:46,yearly,79.99
U1001818,2024-01-16 12:00:12,monthly,9.99
U1001855,2024-01-30 00:00:32,monthly,9.99
U1001859,2024-01-05 20:24:24,monthly,9.99
U1001881,2024-01-06 16:22:19,yearly,79.99
U1001899,2024-01-13 08:50:16,yearly,79.99
U1001909,2024-01-08 15:22:52,monthly,9.99
U1001911,2024-01-23 04:03:57,monthly,9.99
U1001921,2024-01-15 02:52:03,monthly,9.99
U1001925,2024-01-17 10:00:16,monthly,9.99
U1001928,2024-01-26 11:35:01,monthly,9.99
U1001938,2024-01-26 14:36:15,monthly,9.99
U1001941,2024-01-27 05:42:54,monthly,9.99
U1001948,2024-02-06 11:45:00,yearly,79.99
U1001951,2024-01-14 08:54:54,yearly,79.99
U1001992,2024-01-05 02:00:49,monthly,9.99
U1002033,2024-01-18 09:39:17,monthly,9.99
U1002053,2024-02-12 18:36:05,yearly,79.99
U1002075,2024-01-31 13:55:46,monthly,9.99
U1002097,2024-02-11 13:15:06,monthly,9.99
U1002098,2024-01-10 08:32:43,monthly,9.99
U1002105,2024-01-15 01:00:14,yearly,79.99
U1002110,2024-01-24 06:31:46,monthly,9.99
U1002117,2024-01-07 20:40:59,monthly,9.99
U1002124,2024-02-22 19:57:04,yearly,79.99
U1002127,2024-01-12 21:31:21,monthly,9.99
U1002129,2024-01-06 07:12:37,monthly,9.99
U1002134,2024-01-21 01:54:32,monthly,9.99
U1002161,2024-01-07 12:33:59,monthly,9.99
U1002177,2024-01-24 22:41:28,monthly,9.99
U1002191,2024-01-13 22:43:31,monthly,9.99
U1002210,2024-02-04 02:54:39,yearly,79.99
U1002214,2024-01-26 06:55:41,yearly,79.99
U1002215,2024-01-21 11:48:35,yearly,79.99
U1002223,2024-01-27 07:52:44,yearly,79.99
U1002265,2024-02-01 11:02:53,monthly,9.99
U1002275,2024-01-10 01:36:23,yearly,79.99
U1002281,2024-02-02 05:00:40,monthly,9.99
U1002295,2024-01-06 18:12:15,monthly,9.99
U1002360,2024-02-10 13:16:25,monthly,9.99
U1002381,2024-01-12 10:45:21,yearly,79.99
U1002386,2024-01-20 12:37:52,monthly,9.99
U1002404,2024-01-24 02:04:18,monthly,9.99
U1002427,2024-02-11 08:44:20,monthly,9.99
U1002434,2024-01-07 16:52:37,yearly,79.99
U1002437,2024-01-07 16:21:24,monthly,9.99
U1002441,2024-01-08 14:09:50,monthly,9.99
U1002460,2024-01-06 01:59:57,monthly,9.99
U1002464,2024-01-10 09:37:09,monthly,9.99
U1002472,2024-01-06 04:36:41,monthly,9.99
U1002476,2024-01-13 04:32:17,monthly,9.99
U1002518,2024-01-13 00:43:45,monthly,9.99
U1002522,2024-01-12 02:42:01,monthly,9.99
U1002537,2024-01-15 08:35:07,yearly,79.99
U1002550,2024-01-12 01:32:26,monthly,9.99
U1002553,2024-01-08 19:18:34,yearly,79.99
U1002555,2024-03-04 16:57:17,monthly,9.99
U1002564,2024-01-10 19:05:43,monthly,9.99
U1002576,2024-02-29 15:36:26,monthly,9.99
U1002579,2024-01-07 00:59:34,monthly,9.99
U1002580,2024-01-11 03:38:20,monthly,9.99
U1002620,2024-02-03 19:25:31,monthly,9.99
U1002624,2024-01-10 15:21:39,monthly,9.99
U1002639,2024-02-10 06:34:11,monthly,9.99
U1002663,2024-02-01 14:09:57,monthly,9.99
U1002666,2024-01-24 17:49:37,monthly,9.99
U1002679,2024-02-09 15:35:18,monthly,9.99
U1002687,2024-01-27 02:31:15,monthly,9.99
U1002690,2024-02-15 08:05:09,monthly,9.99
U1002692,2024-01-13 06:06:21,yearly,79.99
U1002693,2024-01-30 06:17:38,monthly,9.99
U1002704,2024-01-14 11:51:46,yearly,79.99
U1002719,2024-01-07 01:28:20,monthly,9.99
U1002741,2024-01-17 01:57:33,monthly,9.99
U1002775,2024-01-25 22:13:45,yearly,79.99
U1002790,2024-01-12 17:22:19,yearly,79.99
U1002792,2024-02-23 17:59:56,monthly,9.99
U1002803,2024-01-27 04:06:44,monthly,9.99
U1002806,2024-01-11 01:35:39,yearly,79.99
U1002827,2024-01-09 11:27:34,monthly,9.99
U1002828,2024-02-11 20:47:49,monthly,9.99
U1002834,2024-01-07 16:27:14,yearly,79.99
U1002840,2024-01-07 09:56:48,monthly,9.99
U1002849,2024-01-10 10:23:36,monthly,9.99
U1002857,2024-01-07 23:05:48,monthly,9.99
U1002886,2024-01-11 19:02:03,monthly,9.99
U1002889,2024-01-07 23:19:56,yearly,79.99
U1002901,2024-01-15 04:36:09,monthly,9.99
U1002908,2024-01-07 19:44:33,monthly,9.99
U1002936,2024-01-16 20:36:12,monthly,9.99
U1002940,2024-02-11 06:57:49,monthly,9.99
U1002955,2024-01-09 11:23:59,monthly,9.99
U1002962,2024-01-12 16:37:19,monthly,9.99
U1002975,2024-01-08 22:09:37,yearly,79.99
U1002979,2024-01-17 02:09:14,monthly,9.99
U1002983,2024-01-26 05:26:04,monthly,9.99
U1002996,2024-01-18 21:09:40,yearly,79.99
U1003013,2024-01-12 21:39:01,monthly,9.99
U1003014,2024-01-20 04:36:17,monthly,9.99
U1003033,2024-01-20 11:51:01,monthly,9.99
U1003049,2024-01-31 17:56:57,yearly,79.99
